review_id,restaurant_id,restaurant_name,review_text,sentiment,mentioned_dishes,positive_points,negative_points,occasion_hint,price_comment,waiting_time_comment,source_type,source_url,created_at,review_weight,notes
rev_r001_01,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,用餐者認為火力可以請店員調整，但火候有時不穩；烤盤洞較大，食材容易掉落。小菜選擇偏少，肉品吃到後面容易膩，服務人員空閒時滑手機也影響觀感。整體屬於內用午餐，人均約400到600元。,negative,meat,adjustable fire|indoor dining,unstable heat|food may fall through grill|limited side dishes|meat can feel greasy|service attentiveness issue,solo meal|casual dinner|friends gathering|budget dinner|meat craving,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_02,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,長期顧客表示過去多次用餐體驗良好，但近期兩次用餐明顯變差，主要問題集中在烤盤與火力設備。一次火力過大導致肉容易燒焦，另一次烤盤幾乎不熱，薄切五花也難以烤熟。顧客認為不是肉品品質問題，而是設備維護需要改善。,negative,thin sliced pork belly|meat,previously stable experience|repeat customer,unstable heat|grill too hot|grill not hot enough|meat hard to cook|equipment maintenance issue,solo meal|casual dinner|budget yakiniku,NT$400-600,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_03,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,顧客反映烤盤火候過小，薄切牛五花也需要烤很久，雞肉與松阪豬更耗時；松阪豬切得厚且有硬筋，口感不佳。服務方面，續小菜被收走後等待約20分鐘才送回。清潔也被指出有問題，包括地板黏與置物籃內出現蟑螂。,negative,thin sliced beef belly|chicken|matsusaka pork,quiet enough for conversation,weak grill heat|slow cooking|tough meat|slow side dish refill|cleanliness issue|storage basket hygiene issue,casual dinner|friends gathering,NT$400-600,long cooking time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_04,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,顧客認為食物表現普通，肉塊大小不一，烤盤溫度不足，烤肉時間很長。服務體驗不佳，上菜速度慢，飯與飲料需要提醒才會送上；顧客也認為在這種服務下收取10%服務費不合理。,negative,meat|rice|drinks,none,average food|inconsistent meat cutting|weak grill heat|slow cooking|slow service|service charge concern,casual dinner|patient diners only,NT$400-600,slow serving speed,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r001_05,r001,中正｜燒肉政宗 YAKINIKU MASAMUNE,顧客提到週三與週五晚上有399吃到飽方案，價格有吸引力。店內人多，座位是高腳椅大桌，較擁擠且不太舒適；店員人手不足，換烤網需要主動提醒，白飯也因碗還在清洗而延遲。炭火偏小，雞肉需要烤很久。不過特製辣椒粉被認為很提味，有椒麻香氣。,mixed,chicken|rice|special chili powder,all-you-can-eat deal|spicy seasoning|good flavor,crowded|uncomfortable seating|limited staff|slow rice serving|weak charcoal heat|slow cooking,budget dinner|friends gathering|casual yakiniku,NT$400-600,busy at night,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_01,r002,築本屋公館店,顧客認為這是台大學生很熟悉的平價店，用餐時間通常人很多。牛丼是安全牌，牛肉份量不算少，醬汁甜鹹順口，洋蔥入味，整體不驚艷但吃得飽。醬燒牛五花定食下飯，腰內豬排定食肉質嫩、外皮酥脆，適合怕豬排太硬的人。,positive,牛丼|醬燒牛五花定食|腰內豬排定食,student-friendly|safe choice|large portion|filling meal|crispy tonkatsu|tender pork|good value,crowded during meal time,solo meal|student meal|friends meal|casual lunch,NT$100-200,busy during meal time,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_02,r002,築本屋公館店,顧客認為餐點平價且份量充足，餓的時候能吃得很滿足。豬排和唐揚雞等炸物調味較重，炸皮偏厚，吃到後面可能會膩，但整體口味仍然好吃。白飯和湯表現不錯，是住附近會常常回訪的店。,positive,豬排|唐揚雞|白飯|湯,cheap|large portion|filling meal|good seasoning|good rice|good soup|repeatable local spot,fried food can feel greasy|thick batter|heavy flavor,solo meal|student meal|casual dinner|friends meal,NT$200-400,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_03,r002,築本屋公館店,顧客稱讚餐點份量足，能吃得很飽，豬排麵衣酥脆，白飯與高麗菜絲可以續。店內播放80年代台灣流行歌，帶來有記憶點的用餐氣氛。,positive,豬排|白飯|高麗菜絲,large portion|crispy tonkatsu|refillable rice|refillable cabbage|nostalgic music|filling meal,none,solo meal|student meal|casual lunch|casual dinner,reasonable,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_04,r002,築本屋公館店,顧客認為這是平價豬排飯選擇，定食可無限續飯與高麗菜絲。腰內豬排外觀看起來普通，但吃起來酥脆好吃；豬排醬偏糖醋風味，搭配方式特別。店內沒有飲料，飯和水可自助取用，續高麗菜需找店員。,positive,腰內豬排|豬排飯|白飯|高麗菜絲,cheap|refillable rice|refillable cabbage|crispy tonkatsu|self-service water|good value,no drinks|noisy but conversational,solo meal|student meal|casual lunch|friends meal,NT$100-200,no wait,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
rev_r002_05,r002,築本屋公館店,顧客提到晚上6點20分唐揚雞已售完，且服務人員沒有事先告知。餐廳空間不大，但餐點好吃，飯和菜都可以續，肉品不會過油或過乾。整體餐點表現佳，但服務與空間仍有改善空間。,mixed,唐揚雞|白飯|高麗菜,good food|refillable rice|refillable cabbage|meat not too oily|meat not too dry,popular item sold out|service communication issue|small space,solo meal|friends meal|casual dinner|student meal,NT$200-400,unknown,manual_summary_or_survey,,2026/5/29,1,Fill this manually from your own summary/interview/user-provided notes. Do not copy long raw Google review text.
